Date, Open, High, Low, Close
12/28/17, 29684.79, 29873.10, 29661.06, 29863.71
12/27/17, 29632.97, 29693.82, 29516.51, 29597.66
12/22/17, 29505.05, 29578.01, 29413.86, 29578.01
12/21/17, 29209.64, 29431.81, 29145.13, 29367.06
12/20/17, 29199.29, 29326.52, 29159.28, 29234.09
12/19/17, 29193.74, 29339.11, 29144.17, 29253.66
12/18/17, 28923.53, 29143.33, 28821.19, 29050.41
12/15/17, 29000.11, 29017.66, 28738.84, 28848.11
12/14/17, 29335.76, 29367.51, 29047.61, 29166.38
12/13/17, 28856.78, 29276.67, 28707.60, 29222.10
12/12/17, 28972.74, 29066.77, 28745.73, 28793.88
12/11/17, 28645.41, 28998.51, 28645.41, 28965.29
12/08/17, 28400.01, 28705.76, 28344.39, 28639.85
12/07/17, 28366.14, 28478.34, 28134.93, 28303.19
12/06/17, 28850.36, 28929.21, 28204.53, 28224.80
12/05/17, 28898.58, 29124.24, 28838.12, 28842.80
12/04/17, 28951.19, 29343.78, 28803.19, 29138.28
12/01/17, 29261.31, 29345.97, 29028.76, 29074.24
11/30/17, 29340.27, 29353.51, 29127.30, 29177.35
11/29/17, 29813.94, 29831.19, 29563.39, 29623.83
11/28/17, 29608.64, 29687.45, 29334.59, 29680.85
11/27/17, 29857.65, 29859.11, 29610.96, 29686.19
11/24/17, 29788.18, 29918.92, 29696.59, 29866.32
11/23/17, 30033.18, 30169.99, 29593.79, 29707.94
11/22/17, 30087.19, 30199.69, 29911.07, 30003.49
11/21/17, 29369.69, 29818.07, 29343.48, 29818.07
11/20/17, 29227.08, 29299.87, 29089.58, 29260.31
11/17/17, 29214.36, 29341.92, 29158.35, 29199.04
11/16/17, 28963.77, 29095.49, 28877.76, 29018.76
11/15/17, 29026.11, 29106.49, 28851.69, 28851.69
11/14/17, 29272.10, 29320.03, 29143.63, 29152.12
11/13/17, 29058.23, 29258.50, 29058.23, 29182.18
11/10/17, 29060.13, 29237.85, 29036.45, 29120.92
11/09/17, 28987.79, 29192.51, 28960.05, 29136.57
